areaCode,areaName,areaType,date,newCasesByPublishDate
K02000001,United Kingdom,overview,2022-02-28,82451
K02000001,United Kingdom,overview,2022-02-27,0
K02000001,United Kingdom,overview,2022-02-26,0
K02000001,United Kingdom,overview,2022-02-25,31933
K02000001,United Kingdom,overview,2022-02-24,38933
K02000001,United Kingdom,overview,2022-02-23,39656
K02000001,United Kingdom,overview,2022-02-22,41130
K02000001,United Kingdom,overview,2022-02-21,38409
K02000001,United Kingdom,overview,2022-02-20,31170
K02000001,United Kingdom,overview,2022-02-19,39693
K02000001,United Kingdom,overview,2022-02-18,47685
K02000001,United Kingdom,overview,2022-02-17,51899
K02000001,United Kingdom,overview,2022-02-16,54218
K02000001,United Kingdom,overview,2022-02-15,46186
K02000001,United Kingdom,overview,2022-02-14,41648
K02000001,United Kingdom,overview,2022-02-13,41270
K02000001,United Kingdom,overview,2022-02-12,46025
K02000001,United Kingdom,overview,2022-02-11,58899
K02000001,United Kingdom,overview,2022-02-10,66638
K02000001,United Kingdom,overview,2022-02-09,68214
K02000001,United Kingdom,overview,2022-02-08,66183
K02000001,United Kingdom,overview,2022-02-07,57623
K02000001,United Kingdom,overview,2022-02-06,57337
K02000001,United Kingdom,overview,2022-02-05,63493
K02000001,United Kingdom,overview,2022-02-04,84053
K02000001,United Kingdom,overview,2022-02-03,88171
K02000001,United Kingdom,overview,2022-02-02,92594
K02000001,United Kingdom,overview,2022-02-01,112458
K02000001,United Kingdom,overview,2022-01-31,92368
K02000001,United Kingdom,overview,2022-01-30,69007
K02000001,United Kingdom,overview,2022-01-29,76069
K02000001,United Kingdom,overview,2022-01-28,89176
K02000001,United Kingdom,overview,2022-01-27,96871
K02000001,United Kingdom,overview,2022-01-26,102292
K02000001,United Kingdom,overview,2022-01-25,94326
K02000001,United Kingdom,overview,2022-01-24,88447
K02000001,United Kingdom,overview,2022-01-23,78317
K02000001,United Kingdom,overview,2022-01-22,80263
K02000001,United Kingdom,overview,2022-01-21,95787
K02000001,United Kingdom,overview,2022-01-20,107364
K02000001,United Kingdom,overview,2022-01-19,108069
K02000001,United Kingdom,overview,2022-01-18,94432
K02000001,United Kingdom,overview,2022-01-17,84429
K02000001,United Kingdom,overview,2022-01-16,75041
K02000001,United Kingdom,overview,2022-01-15,81713
K02000001,United Kingdom,overview,2022-01-14,99652
K02000001,United Kingdom,overview,2022-01-13,109133
K02000001,United Kingdom,overview,2022-01-12,129587
K02000001,United Kingdom,overview,2022-01-11,120821
K02000001,United Kingdom,overview,2022-01-10,142224
K02000001,United Kingdom,overview,2022-01-09,141472
K02000001,United Kingdom,overview,2022-01-08,146390
K02000001,United Kingdom,overview,2022-01-07,178250
K02000001,United Kingdom,overview,2022-01-06,179756
K02000001,United Kingdom,overview,2022-01-05,194747
K02000001,United Kingdom,overview,2022-01-04,218724
K02000001,United Kingdom,overview,2022-01-03,157758
K02000001,United Kingdom,overview,2022-01-02,151663
K02000001,United Kingdom,overview,2022-01-01,179637
K02000001,United Kingdom,overview,2021-12-31,189846
K02000001,United Kingdom,overview,2021-12-30,189213
K02000001,United Kingdom,overview,2021-12-29,183037
K02000001,United Kingdom,overview,2021-12-28,138831
K02000001,United Kingdom,overview,2021-12-27,109077
K02000001,United Kingdom,overview,2021-12-26,119923
K02000001,United Kingdom,overview,2021-12-25,121880
K02000001,United Kingdom,overview,2021-12-24,122186
K02000001,United Kingdom,overview,2021-12-23,119789
K02000001,United Kingdom,overview,2021-12-22,109655
K02000001,United Kingdom,overview,2021-12-21,90629
K02000001,United Kingdom,overview,2021-12-20,91743
K02000001,United Kingdom,overview,2021-12-19,82886
K02000001,United Kingdom,overview,2021-12-18,90418
K02000001,United Kingdom,overview,2021-12-17,93045
K02000001,United Kingdom,overview,2021-12-16,88376
K02000001,United Kingdom,overview,2021-12-15,78610
K02000001,United Kingdom,overview,2021-12-14,59610
K02000001,United Kingdom,overview,2021-12-13,54661
K02000001,United Kingdom,overview,2021-12-12,48854
K02000001,United Kingdom,overview,2021-12-11,54073
K02000001,United Kingdom,overview,2021-12-10,58194
K02000001,United Kingdom,overview,2021-12-09,50867
K02000001,United Kingdom,overview,2021-12-08,51342
K02000001,United Kingdom,overview,2021-12-07,45691
K02000001,United Kingdom,overview,2021-12-06,51459
K02000001,United Kingdom,overview,2021-12-05,43992
K02000001,United Kingdom,overview,2021-12-04,42848
K02000001,United Kingdom,overview,2021-12-03,50584
K02000001,United Kingdom,overview,2021-12-02,53945
K02000001,United Kingdom,overview,2021-12-01,48374
K02000001,United Kingdom,overview,2021-11-30,39716
K02000001,United Kingdom,overview,2021-11-29,42583
K02000001,United Kingdom,overview,2021-11-28,37681
K02000001,United Kingdom,overview,2021-11-27,39567
K02000001,United Kingdom,overview,2021-11-26,50091
K02000001,United Kingdom,overview,2021-11-25,47240
K02000001,United Kingdom,overview,2021-11-24,43676
K02000001,United Kingdom,overview,2021-11-23,42484
K02000001,United Kingdom,overview,2021-11-22,44917
K02000001,United Kingdom,overview,2021-11-21,40004
K02000001,United Kingdom,overview,2021-11-20,40941
K02000001,United Kingdom,overview,2021-11-19,44242
K02000001,United Kingdom,overview,2021-11-18,46807
K02000001,United Kingdom,overview,2021-11-17,38263
K02000001,United Kingdom,overview,2021-11-16,37243
K02000001,United Kingdom,overview,2021-11-15,39705
K02000001,United Kingdom,overview,2021-11-14,36517
K02000001,United Kingdom,overview,2021-11-13,38351
K02000001,United Kingdom,overview,2021-11-12,40375
K02000001,United Kingdom,overview,2021-11-11,42408
K02000001,United Kingdom,overview,2021-11-10,39329
K02000001,United Kingdom,overview,2021-11-09,33117
K02000001,United Kingdom,overview,2021-11-08,32322
K02000001,United Kingdom,overview,2021-11-07,30305
K02000001,United Kingdom,overview,2021-11-06,30693
K02000001,United Kingdom,overview,2021-11-05,34029
K02000001,United Kingdom,overview,2021-11-04,37269
K02000001,United Kingdom,overview,2021-11-03,41299
K02000001,United Kingdom,overview,2021-11-02,33865
K02000001,United Kingdom,overview,2021-11-01,40077
K02000001,United Kingdom,overview,2021-10-31,38009
K02000001,United Kingdom,overview,2021-10-30,41278
K02000001,United Kingdom,overview,2021-10-29,43467
K02000001,United Kingdom,overview,2021-10-28,39842
K02000001,United Kingdom,overview,2021-10-27,43941
K02000001,United Kingdom,overview,2021-10-26,40954
K02000001,United Kingdom,overview,2021-10-25,36567
K02000001,United Kingdom,overview,2021-10-24,39962
K02000001,United Kingdom,overview,2021-10-23,44985
K02000001,United Kingdom,overview,2021-10-22,49298
K02000001,United Kingdom,overview,2021-10-21,52009
K02000001,United Kingdom,overview,2021-10-20,49139
K02000001,United Kingdom,overview,2021-10-19,43738
K02000001,United Kingdom,overview,2021-10-18,49156
K02000001,United Kingdom,overview,2021-10-17,45140
K02000001,United Kingdom,overview,2021-10-16,43423
K02000001,United Kingdom,overview,2021-10-15,44932
K02000001,United Kingdom,overview,2021-10-14,45066
K02000001,United Kingdom,overview,2021-10-13,42776
K02000001,United Kingdom,overview,2021-10-12,38520
K02000001,United Kingdom,overview,2021-10-11,40224
K02000001,United Kingdom,overview,2021-10-10,34574
K02000001,United Kingdom,overview,2021-10-09,34950
K02000001,United Kingdom,overview,2021-10-08,41765
K02000001,United Kingdom,overview,2021-10-07,40701
K02000001,United Kingdom,overview,2021-10-06,39851
K02000001,United Kingdom,overview,2021-10-05,33869
K02000001,United Kingdom,overview,2021-10-04,35077
K02000001,United Kingdom,overview,2021-10-03,30439
K02000001,United Kingdom,overview,2021-10-02,30301
K02000001,United Kingdom,overview,2021-10-01,35577
K02000001,United Kingdom,overview,2021-09-30,36480
K02000001,United Kingdom,overview,2021-09-29,36722
K02000001,United Kingdom,overview,2021-09-28,34526
K02000001,United Kingdom,overview,2021-09-27,37960
K02000001,United Kingdom,overview,2021-09-26,32417
K02000001,United Kingdom,overview,2021-09-25,32468
K02000001,United Kingdom,overview,2021-09-24,35623
K02000001,United Kingdom,overview,2021-09-23,36710
K02000001,United Kingdom,overview,2021-09-22,34460
K02000001,United Kingdom,overview,2021-09-21,31564
K02000001,United Kingdom,overview,2021-09-20,36100
K02000001,United Kingdom,overview,2021-09-19,29612
K02000001,United Kingdom,overview,2021-09-18,30144
K02000001,United Kingdom,overview,2021-09-17,32651
K02000001,United Kingdom,overview,2021-09-16,26911
K02000001,United Kingdom,overview,2021-09-15,30597
K02000001,United Kingdom,overview,2021-09-14,26628
K02000001,United Kingdom,overview,2021-09-13,30825
K02000001,United Kingdom,overview,2021-09-12,29173
K02000001,United Kingdom,overview,2021-09-11,29547
K02000001,United Kingdom,overview,2021-09-10,37622
K02000001,United Kingdom,overview,2021-09-09,38013
K02000001,United Kingdom,overview,2021-09-08,38975
K02000001,United Kingdom,overview,2021-09-07,37489
K02000001,United Kingdom,overview,2021-09-06,41192
K02000001,United Kingdom,overview,2021-09-05,37011
K02000001,United Kingdom,overview,2021-09-04,37578
K02000001,United Kingdom,overview,2021-09-03,42076
K02000001,United Kingdom,overview,2021-09-02,38154
K02000001,United Kingdom,overview,2021-09-01,35693
K02000001,United Kingdom,overview,2021-08-31,32181
K02000001,United Kingdom,overview,2021-08-30,26476
K02000001,United Kingdom,overview,2021-08-29,33196
K02000001,United Kingdom,overview,2021-08-28,32406
K02000001,United Kingdom,overview,2021-08-27,38046
K02000001,United Kingdom,overview,2021-08-26,38281
K02000001,United Kingdom,overview,2021-08-25,35847
K02000001,United Kingdom,overview,2021-08-24,30838
K02000001,United Kingdom,overview,2021-08-23,31914
K02000001,United Kingdom,overview,2021-08-22,32253
K02000001,United Kingdom,overview,2021-08-21,32058
K02000001,United Kingdom,overview,2021-08-20,37314
K02000001,United Kingdom,overview,2021-08-19,36572
K02000001,United Kingdom,overview,2021-08-18,33904
K02000001,United Kingdom,overview,2021-08-17,26852
K02000001,United Kingdom,overview,2021-08-16,28438
K02000001,United Kingdom,overview,2021-08-15,26750
K02000001,United Kingdom,overview,2021-08-14,29520
K02000001,United Kingdom,overview,2021-08-13,32700
K02000001,United Kingdom,overview,2021-08-12,33074
K02000001,United Kingdom,overview,2021-08-11,29612
K02000001,United Kingdom,overview,2021-08-10,23510
K02000001,United Kingdom,overview,2021-08-09,25161
K02000001,United Kingdom,overview,2021-08-08,27429
K02000001,United Kingdom,overview,2021-08-07,28612
K02000001,United Kingdom,overview,2021-08-06,31808
K02000001,United Kingdom,overview,2021-08-05,30215
K02000001,United Kingdom,overview,2021-08-04,29312
K02000001,United Kingdom,overview,2021-08-03,21691
K02000001,United Kingdom,overview,2021-08-02,21952
K02000001,United Kingdom,overview,2021-08-01,24470
K02000001,United Kingdom,overview,2021-07-31,26144
K02000001,United Kingdom,overview,2021-07-30,29622
K02000001,United Kingdom,overview,2021-07-29,31117
K02000001,United Kingdom,overview,2021-07-28,27734
K02000001,United Kingdom,overview,2021-07-27,23511
K02000001,United Kingdom,overview,2021-07-26,24950
K02000001,United Kingdom,overview,2021-07-25,29173
K02000001,United Kingdom,overview,2021-07-24,31795
K02000001,United Kingdom,overview,2021-07-23,36389
K02000001,United Kingdom,overview,2021-07-22,39906
K02000001,United Kingdom,overview,2021-07-21,44104
K02000001,United Kingdom,overview,2021-07-20,46558
K02000001,United Kingdom,overview,2021-07-19,39950
K02000001,United Kingdom,overview,2021-07-18,48161
K02000001,United Kingdom,overview,2021-07-17,54674
K02000001,United Kingdom,overview,2021-07-16,51870
K02000001,United Kingdom,overview,2021-07-15,48553
K02000001,United Kingdom,overview,2021-07-14,42302
K02000001,United Kingdom,overview,2021-07-13,36660
K02000001,United Kingdom,overview,2021-07-12,34471
K02000001,United Kingdom,overview,2021-07-11,31772
K02000001,United Kingdom,overview,2021-07-10,32367
K02000001,United Kingdom,overview,2021-07-09,35707
K02000001,United Kingdom,overview,2021-07-08,32551
K02000001,United Kingdom,overview,2021-07-07,32548
K02000001,United Kingdom,overview,2021-07-06,28773
K02000001,United Kingdom,overview,2021-07-05,27334
K02000001,United Kingdom,overview,2021-07-04,24248
K02000001,United Kingdom,overview,2021-07-03,24885
K02000001,United Kingdom,overview,2021-07-02,27125
K02000001,United Kingdom,overview,2021-07-01,27989
K02000001,United Kingdom,overview,2021-06-30,26068
K02000001,United Kingdom,overview,2021-06-29,20479
K02000001,United Kingdom,overview,2021-06-28,22868
K02000001,United Kingdom,overview,2021-06-27,14876
K02000001,United Kingdom,overview,2021-06-26,18270
K02000001,United Kingdom,overview,2021-06-25,15810
K02000001,United Kingdom,overview,2021-06-24,16703
K02000001,United Kingdom,overview,2021-06-23,16135
K02000001,United Kingdom,overview,2021-06-22,11625
K02000001,United Kingdom,overview,2021-06-21,10633
K02000001,United Kingdom,overview,2021-06-20,9284
K02000001,United Kingdom,overview,2021-06-19,10321
K02000001,United Kingdom,overview,2021-06-18,10476
K02000001,United Kingdom,overview,2021-06-17,11007
K02000001,United Kingdom,overview,2021-06-16,9055
K02000001,United Kingdom,overview,2021-06-15,7673
K02000001,United Kingdom,overview,2021-06-14,7742
K02000001,United Kingdom,overview,2021-06-13,7490
K02000001,United Kingdom,overview,2021-06-12,7738
K02000001,United Kingdom,overview,2021-06-11,8125
K02000001,United Kingdom,overview,2021-06-10,7393
K02000001,United Kingdom,overview,2021-06-09,7540
K02000001,United Kingdom,overview,2021-06-08,6048
K02000001,United Kingdom,overview,2021-06-07,5683
K02000001,United Kingdom,overview,2021-06-06,5341
K02000001,United Kingdom,overview,2021-06-05,5765
K02000001,United Kingdom,overview,2021-06-04,6238
K02000001,United Kingdom,overview,2021-06-03,5274
K02000001,United Kingdom,overview,2021-06-02,4330
K02000001,United Kingdom,overview,2021-06-01,3165
K02000001,United Kingdom,overview,2021-05-31,3383
K02000001,United Kingdom,overview,2021-05-30,3240
K02000001,United Kingdom,overview,2021-05-29,3398
K02000001,United Kingdom,overview,2021-05-28,4182
K02000001,United Kingdom,overview,2021-05-27,3542
K02000001,United Kingdom,overview,2021-05-26,3180
K02000001,United Kingdom,overview,2021-05-25,2493
K02000001,United Kingdom,overview,2021-05-24,2439
K02000001,United Kingdom,overview,2021-05-23,2235
K02000001,United Kingdom,overview,2021-05-22,2694
K02000001,United Kingdom,overview,2021-05-21,2829
K02000001,United Kingdom,overview,2021-05-20,2874
K02000001,United Kingdom,overview,2021-05-19,2696
K02000001,United Kingdom,overview,2021-05-18,2412
K02000001,United Kingdom,overview,2021-05-17,1979
K02000001,United Kingdom,overview,2021-05-16,1926
K02000001,United Kingdom,overview,2021-05-15,2027
K02000001,United Kingdom,overview,2021-05-14,2193
K02000001,United Kingdom,overview,2021-05-13,2657
K02000001,United Kingdom,overview,2021-05-12,2284
K02000001,United Kingdom,overview,2021-05-11,2474
K02000001,United Kingdom,overview,2021-05-10,2357
K02000001,United Kingdom,overview,2021-05-09,1770
K02000001,United Kingdom,overview,2021-05-08,2047
K02000001,United Kingdom,overview,2021-05-07,2490
K02000001,United Kingdom,overview,2021-05-06,2613
K02000001,United Kingdom,overview,2021-05-05,2144
K02000001,United Kingdom,overview,2021-05-04,1946
K02000001,United Kingdom,overview,2021-05-03,1649
K02000001,United Kingdom,overview,2021-05-02,1671
K02000001,United Kingdom,overview,2021-05-01,1907
K02000001,United Kingdom,overview,2021-04-30,2381
K02000001,United Kingdom,overview,2021-04-29,2445
K02000001,United Kingdom,overview,2021-04-28,2166
K02000001,United Kingdom,overview,2021-04-27,2685
K02000001,United Kingdom,overview,2021-04-26,2064
K02000001,United Kingdom,overview,2021-04-25,1712
K02000001,United Kingdom,overview,2021-04-24,2061
K02000001,United Kingdom,overview,2021-04-23,2678
K02000001,United Kingdom,overview,2021-04-22,2729
K02000001,United Kingdom,overview,2021-04-21,2396
K02000001,United Kingdom,overview,2021-04-20,2524
K02000001,United Kingdom,overview,2021-04-19,2963
K02000001,United Kingdom,overview,2021-04-18,1882
K02000001,United Kingdom,overview,2021-04-17,2206
K02000001,United Kingdom,overview,2021-04-16,2596
K02000001,United Kingdom,overview,2021-04-15,2672
K02000001,United Kingdom,overview,2021-04-14,2491
K02000001,United Kingdom,overview,2021-04-13,2472
K02000001,United Kingdom,overview,2021-04-12,3568
K02000001,United Kingdom,overview,2021-04-11,1730
K02000001,United Kingdom,overview,2021-04-10,2589
K02000001,United Kingdom,overview,2021-04-09,3150
K02000001,United Kingdom,overview,2021-04-08,3030
K02000001,United Kingdom,overview,2021-04-07,2763
K02000001,United Kingdom,overview,2021-04-06,2379
K02000001,United Kingdom,overview,2021-04-05,2762
K02000001,United Kingdom,overview,2021-04-04,2297
K02000001,United Kingdom,overview,2021-04-03,3423
K02000001,United Kingdom,overview,2021-04-02,3402
K02000001,United Kingdom,overview,2021-04-01,4479
K02000001,United Kingdom,overview,2021-03-31,4052
K02000001,United Kingdom,overview,2021-03-30,4040
K02000001,United Kingdom,overview,2021-03-29,4654
K02000001,United Kingdom,overview,2021-03-28,3862
K02000001,United Kingdom,overview,2021-03-27,4715
K02000001,United Kingdom,overview,2021-03-26,6187
K02000001,United Kingdom,overview,2021-03-25,6397
K02000001,United Kingdom,overview,2021-03-24,5605
K02000001,United Kingdom,overview,2021-03-23,5379
K02000001,United Kingdom,overview,2021-03-22,5342
K02000001,United Kingdom,overview,2021-03-21,5312
K02000001,United Kingdom,overview,2021-03-20,5587
K02000001,United Kingdom,overview,2021-03-19,4802
K02000001,United Kingdom,overview,2021-03-18,6303
K02000001,United Kingdom,overview,2021-03-17,5758
K02000001,United Kingdom,overview,2021-03-16,5294
K02000001,United Kingdom,overview,2021-03-15,5089
K02000001,United Kingdom,overview,2021-03-14,4618
K02000001,United Kingdom,overview,2021-03-13,5534
K02000001,United Kingdom,overview,2021-03-12,6609
K02000001,United Kingdom,overview,2021-03-11,6753
K02000001,United Kingdom,overview,2021-03-10,5926
K02000001,United Kingdom,overview,2021-03-09,5766
K02000001,United Kingdom,overview,2021-03-08,4712
K02000001,United Kingdom,overview,2021-03-07,5177
K02000001,United Kingdom,overview,2021-03-06,6040
K02000001,United Kingdom,overview,2021-03-05,5947
K02000001,United Kingdom,overview,2021-03-04,6573
K02000001,United Kingdom,overview,2021-03-03,6385
K02000001,United Kingdom,overview,2021-03-02,6391
K02000001,United Kingdom,overview,2021-03-01,5455
K02000001,United Kingdom,overview,2021-02-28,6035
K02000001,United Kingdom,overview,2021-02-27,7434
K02000001,United Kingdom,overview,2021-02-26,8523
K02000001,United Kingdom,overview,2021-02-25,9985
K02000001,United Kingdom,overview,2021-02-24,9938
K02000001,United Kingdom,overview,2021-02-23,8489
K02000001,United Kingdom,overview,2021-02-22,10641
K02000001,United Kingdom,overview,2021-02-21,9834
K02000001,United Kingdom,overview,2021-02-20,10406
K02000001,United Kingdom,overview,2021-02-19,12027
K02000001,United Kingdom,overview,2021-02-18,12057
